id,model_score,model_risk_grade
44057229,495,G
141524311,538,C
67277548,541,C
76031201,508,F
60115254,541,C
48160746,506,F
67285889,521,E
55171436,524,D
42495450,536,C
111099403,511,F
134992046,527,D
63214274,572,A
48695251,501,G
48304310,531,D
57872751,512,F
55453822,529,D
75174550,564,A
64221005,519,E
138123396,558,A
62519903,507,F
120221242,546,B
69680452,527,D
70451681,542,C
110826634,508,F
64108414,530,D
70894073,497,G
70631440,517,E
123782309,546,B
45050224,567,A
61521840,498,G
68635272,541,C
62367176,505,F
130309367,559,A
60355507,511,F
136452792,520,E
70772270,508,F
42894189,543,B
94286225,500,G
81504181,550,B
135549709,529,D
122309402,514,F
126446178,514,F
126685816,515,E
116670047,527,D
103747745,527,D
46577058,535,C
51216365,518,E
66465116,564,A
78104169,514,F
87174778,513,F
61313627,539,C
111590966,494,G
90093181,514,F
88208434,516,E
133398299,562,A
128554602,542,C
69482765,494,G
99798943,526,D
51065268,534,C
69117427,536,C
58533812,535,C
69523206,542,C
113228852,562,A
38201876,509,F
60923004,529,D
40307282,520,E
91111491,512,F
89946763,551,B
75983132,525,D
75447320,514,F
73345980,589,A
73823910,526,D
55279990,509,F
58862556,558,A
61513401,494,G
95157472,529,D
55289067,538,C
71428847,509,F
38484543,513,F
54899918,520,E
74934152,516,E
46832262,539,C
73824022,507,F
77081189,527,D
38559378,513,F
125293820,552,B
61842823,550,B
73806002,533,D
60286241,536,C
54147328,528,D
100145351,545,B
101135402,520,E
125908246,533,D
67909069,527,D
63424833,517,E
96404946,543,B
73704792,535,C
45404539,556,A
72164760,517,E
52778815,548,B
40382733,508,F
64087944,530,D
72555645,530,D
118250276,508,F
125790898,513,F
91516135,509,F
109952429,518,E
74544033,511,F
109937279,496,G
119278065,496,G
77407941,526,D
63336818,546,B
79013989,532,D
106774570,531,D
81405002,544,B
63415536,521,E
68448187,520,E
63327974,520,E
94103505,528,D
38569980,542,C
96391558,534,C
59130093,560,A
46426129,513,F
41101113,535,C
128976862,549,B
91311653,532,D
72633858,528,D
70801361,553,B
128136922,551,B
59411554,493,G
124810662,486,G
59441264,519,E
66523521,522,E
64050625,558,A
114387167,499,G
85558661,535,C
97904281,524,D
95171531,523,E
39749946,491,G
53634865,549,B
76084016,531,D
76412024,530,D
58493343,527,D
51906715,560,A
60792041,536,C
68550107,510,F
69402371,550,B
122289874,570,A
124041896,536,C
114166030,551,B
90029633,500,G
75193343,490,G
77259367,504,G
115095296,504,G
79491457,559,A
51215296,528,D
79621309,519,E
97552259,542,C
43840877,541,C
70835774,535,C
44845649,531,D
51546203,523,E
55491826,523,E
110747661,527,D
54414521,554,B
131616032,491,G
50505463,542,C
107658820,536,C
129815902,555,A
77128128,563,A
124729326,543,B
132073046,535,C
54108062,504,G
70471231,511,F
51946668,534,C
65845264,534,C
70740856,552,B
55298744,546,B
124474290,534,C
58020446,559,A
92501090,523,E
55501866,528,D
66370832,524,D
96661921,531,D
59551937,534,C
125207679,532,D
127545744,555,A
78150001,525,D
68537368,542,C
41207055,539,C
95073274,527,D
66515523,545,B
66320257,526,D
55503498,532,D
85723711,533,D
83749029,495,G
48716879,543,B
51105698,530,D
95187790,525,D
61469003,533,D
43105622,511,F
48876353,550,B
126285234,524,D
77030247,545,B
39320883,549,B
125885535,533,D
52199486,532,D
70421896,537,C
84515075,523,E
88883612,568,A
59502314,514,F
130767668,549,B
91031608,515,E
46723642,555,A
111599781,511,F
126736482,511,F
122190522,505,F
76266695,525,D
66585251,520,E
55131198,563,A
77539264,526,D
59282146,495,G
129770571,551,B
113405626,528,D
56492496,519,E
89001423,547,B
79563259,520,E
61389384,537,C
85710971,539,C
84577057,527,D
119256829,529,D
40933703,495,G
73608410,563,A
89965946,516,E
58683016,556,A
61442936,509,F
75869302,518,E
125752140,540,C
62236615,495,G
121833899,538,C
91638438,506,F
65097487,592,A
92320306,546,B
71986114,533,D
60395313,490,G
87134845,505,F
121251837,519,E
79543668,566,A
94422069,513,F
62399598,521,E
46804601,532,D
67839475,510,F
94087516,503,G
84799713,539,C
38539697,532,D
112721971,535,C
88241129,535,C
75879712,502,G
96487119,506,F
60750634,501,G
138774668,552,B
110712020,553,B
49126222,510,F
46762718,504,G
60902868,495,G
126160656,529,D
48324275,516,E
71429870,528,D
102246562,540,C
83902307,535,C
79270178,527,D
86802297,517,E
67477695,535,C
81553725,510,F
127842702,508,F
103932052,554,B
97779723,527,D
76153471,533,D
95373209,515,E
54334950,539,C
126073076,555,A
73549444,521,E
38655850,525,D
131194272,516,E
55189179,521,E
60750249,534,C
60505874,537,C
63427154,511,F
55279881,521,E
93899688,514,F
119819914,543,B
63475930,510,F
46723573,510,F
44106997,511,F
40402731,521,E
69982438,557,A
97839678,534,C
57184633,510,F
109843444,518,E
94151076,535,C
96304014,547,B
121349277,513,F
51896875,498,G
131400839,533,D
71097298,502,G
61443577,530,D
55141099,518,E
59975885,503,G
46407641,501,G
130028090,549,B
42295256,553,B
87963006,515,E
93911330,557,A
58633174,519,E
42314423,521,E
65483987,571,A
110381130,544,B
77408329,513,F
77554296,517,E
40383391,518,E
109648350,567,A
88787084,495,G
66120392,553,B
109727336,550,B
43589942,532,D
44229122,560,A
59152595,517,E
55556046,509,F
60626727,541,C
66431474,531,D
96812074,507,F
126393995,545,B
50497250,547,B
60922787,528,D
78709979,530,D
96420503,522,E
51396217,497,G
73943675,519,E
96345131,554,B
91003237,528,D
41122421,544,B
87155099,501,G
96023359,495,G
58141265,512,F
43810077,515,E
104201340,518,E
45384598,522,E
138145073,568,A
55553767,520,E
90708596,521,E
109972980,554,B
65954533,516,E
73863435,525,D
65594687,505,F
70613767,546,B
72194559,507,F
76224158,510,F
95776256,500,G
84939693,561,A
59091800,517,E
42683304,559,A
121905025,551,B
61348248,503,G
73440720,533,D
48736648,550,B
51846456,506,F
45454545,519,E
134745732,534,C
103484264,535,C
60960432,538,C
88800834,529,D
72615422,546,B
64741802,530,D
56030098,527,D
75231624,518,E
111734734,528,D
55980054,537,C
73693665,539,C
50537181,540,C
72174096,536,C
39957662,531,D
85677753,523,E
91356097,544,B
84434930,511,F
48645064,516,E
51476757,527,D
73702124,526,D
64078890,538,C
85431426,497,G
71602616,513,F
130809546,553,B
65835337,530,D
64088917,555,A
38517571,543,B
114176141,551,B
75290469,510,F
90126572,578,A
61354655,561,A
66540464,523,E
115208781,547,B
88134197,530,D
39709269,525,D
73322436,514,F
44965596,509,F
55917639,515,E
60685982,525,D
87164365,534,C
94163751,521,E
40674165,517,E
42484174,503,G
44956260,528,D
85381274,540,C
50535998,505,F
77418829,497,G
120043412,567,A
95666153,528,D
131985226,530,D
74622019,555,A
91289958,545,B
113122843,523,E
58953608,513,F
66420116,526,D
133131804,531,D
83798245,549,B
63998334,539,C
61513409,553,B
115358513,488,G
58150160,506,F
85670909,543,B
96793450,498,G
123898894,506,F
78659808,529,D
69634413,556,A
54345302,551,B
68701642,518,E
66512893,522,E
54018068,510,F
110015749,495,G
112379992,516,E
73735192,516,E
70867554,491,G
73734972,554,B
107541504,529,D
130708921,522,E
70751615,521,E
103657351,503,G
71174690,494,G
74544726,510,F
65493278,526,D
95756386,537,C
78539239,525,D
98502141,502,G
40085268,519,E
114952742,532,D
88633642,528,D
117841196,530,D
102077159,515,E
97709909,494,G
60861940,528,D
53904545,512,F
77158466,516,E
65462971,502,G
65007421,525,D
60485404,539,C
115377845,541,C
44845642,540,C
55911340,501,G
72143735,535,C
96346246,511,F
44249661,540,C
109964388,536,C
63219663,548,B
96506064,558,A
55970721,524,D
38494446,509,F
63947882,512,F
61520205,519,E
96602669,489,G
91284793,536,C
73609613,517,E
88381838,518,E
76151652,556,A
79141828,546,B
60803547,533,D
67789160,521,E
54534924,524,D
43499392,505,F
59471821,543,B
70944005,510,F
63793490,517,E
91021523,514,F
44916123,533,D
38494172,500,G
130511877,543,B
86116458,522,E
39609343,536,C
35833706,540,C
116833992,554,B
84988018,545,B
95293274,528,D
40401284,497,G
92153743,558,A
134984083,538,C
42854336,528,D
71672630,503,G
65343395,528,D
90292365,528,D
66085992,512,F
113065498,520,E
54058099,548,B
48464252,512,F
42622185,552,B
66503391,500,G
118598967,540,C
72847552,552,B
95336046,508,F
64200132,533,D
70984361,523,E
79001723,520,E
80682816,542,C
75829955,540,C
85552790,516,E
42803374,512,F
42171210,536,C
72785540,560,A
58100231,524,D
75200811,520,E
67879246,520,E
39309361,538,C
112909178,547,B
69071371,529,D
96340329,560,A
96201341,501,G
75858708,539,C
99916682,537,C
60406183,520,E
63254420,537,C
71070204,513,F
124917856,565,A
98136984,518,E
65079526,523,E
53171297,522,E
63813444,520,E
48160627,532,D
52788666,508,F
75397712,475,G
112706681,548,B
91007891,495,G
85661606,521,E
94466050,517,E
62186201,527,D
51837086,482,G
61540054,550,B
59512262,511,F
63247494,523,E
95080154,555,A
98682137,499,G
59553542,536,C
124122475,518,E
84769723,510,F
83820878,547,B
122925279,544,B
90896772,546,B
88796193,519,E
62346605,531,D
72224226,529,D
80591357,512,F
99935627,513,F
88980617,563,A
76355150,515,E
96802532,511,F
40500901,506,F
117049807,526,D
50154078,508,F
99254635,516,E
51908718,522,E
98896138,542,C
62083094,515,E
75285185,532,D
106510777,494,G
74736308,539,C
61538369,524,D
62336556,523,E
62367547,521,E
95216226,512,F
112033492,526,D
70551418,526,D
95037666,513,F
70080887,526,D
70927291,522,E
65895182,571,A
44563364,568,A
72174129,523,E
59190831,546,B
50183682,535,C
113502246,564,A
67175504,514,F
79063392,526,D
119262250,543,B
105873628,548,B
73355675,477,G
49993133,532,D
71905142,528,D
55911656,521,E
43470484,518,E
130939867,527,D
65986051,515,E
55370197,508,F
94441061,561,A
129109340,517,E
43840945,529,D
64782027,499,G
92073770,518,E
66360901,568,A
91347428,551,B
90154329,536,C
46476237,544,B
50840359,494,G
88654239,515,E
47521170,532,D
46295302,526,D
110774603,555,A
62315583,502,G
59402082,533,D
58623504,529,D
63455334,538,C
55977843,503,G
89797824,564,A
64321124,529,D
70211689,557,A
96669577,540,C
82120366,515,E
88149197,523,E
59592753,506,F
52928136,569,A
74834789,548,B
127510828,502,G
77512217,549,B
57247226,523,E
135976353,553,B
79121438,505,F
104312703,546,B
73261989,510,F
55350268,554,B
52808853,522,E
68359178,539,C
54394993,538,C
129371324,527,D
130306739,522,E
145191809,548,B
84674953,519,E
64998395,565,A
71442368,575,A
41256410,517,E
57674554,532,D
74734120,513,F
66160776,536,C
94377908,534,C
69082911,552,B
71764419,582,A
92461192,499,G
111083609,561,A
51416803,514,F
112830809,519,E
69562134,525,D
70032392,532,D
98815349,529,D
106367030,533,D
84516467,528,D
66066344,498,G
70896571,491,G
70163210,523,E
78962891,507,F
122188375,524,D
66015370,498,G
57518466,512,F
62195897,501,G
40480412,531,D
139810387,569,A
65834981,544,B
94851669,521,E
61411328,540,C
91948927,529,D
92533692,519,E
57356723,572,A
56049389,523,E
111066809,511,F
70491180,510,F
94177353,520,E
41880397,518,E
40522810,497,G
40117977,520,E
113564209,531,D
121343173,517,E
56964835,558,A
70272935,512,F
43370800,542,C
44816168,528,D
84445764,530,D
77851742,524,D
43510866,514,F
92717931,561,A
61510330,550,B
63185206,543,B
136792438,535,C
59602725,518,E
69237297,502,G
64220608,519,E
93673668,519,E
92083374,571,A
44097013,515,E
40584260,531,D
46117376,531,D
91404868,541,C
77040950,509,F
49813170,538,C
65099345,503,G
47541224,510,F
110047130,523,E
57184785,535,C
93623028,518,E
40413316,530,D
58662299,532,D
57245983,528,D
50556529,520,E
56071124,562,A
58040203,519,E
73540072,549,B
77399320,532,D
105647514,535,C
64300813,517,E
41540534,523,E
94265988,535,C
105155346,521,E
45784442,523,E
93428742,509,F
65701802,526,D
72603694,505,F
40217436,531,D
130907937,518,E
142665588,508,F
65333157,545,B
78398603,527,D
97474529,537,C
67308376,518,E
59561243,534,C
115074473,552,B
137188450,542,C
57275523,518,E
70211569,528,D
65097570,535,C
69902853,497,G
75272941,508,F
65807435,536,C
100104920,562,A
114787429,535,C
65392410,492,G
70851277,505,F
70723198,543,B
38649235,521,E
75334711,547,B
73743695,513,F
84062364,567,A
95216729,549,B
102085408,537,C
45242280,520,E
65865768,503,G
96539116,516,E
63448676,512,F
46733915,520,E
108023158,530,D
57346106,568,A
91201510,527,D
62559129,535,C
93594398,524,D
47717287,530,D
44096050,546,B
81416491,558,A
115254528,552,B
107206176,533,D
104328873,540,C
75103509,535,C
47807337,501,G
80529184,485,G
95238598,504,G
54158796,511,F
113316584,551,B
65199796,519,E
55575674,523,E
57692163,500,G
76073893,498,G
83991737,523,E
51706199,516,E
72684297,518,E
39309928,505,F
72164143,541,C
59151273,494,G
123891689,550,B
79835874,514,F
85087241,524,D
63495711,525,D
90039967,521,E
76421127,539,C
52546122,510,F
51899319,523,E
67248476,529,D
140778124,541,C
107290393,526,D
49016542,544,B
86543708,525,D
63970920,521,E
70852461,506,F
118692082,526,D
119841011,572,A
125831772,557,A
106062641,505,F
69564288,536,C
54828746,556,A
112034916,519,E
84987193,557,A
102364719,539,C
68262713,529,D
77327454,518,E
91327155,537,C
92836378,535,C
48202758,547,B
60546891,523,E
121412208,516,E
93961622,495,G
54294151,530,D
91635911,512,F
51958225,510,F
75223514,524,D
119271438,515,E
60215209,495,G
93108372,497,G
46776851,522,E
72712395,531,D
56563149,522,E
109961742,490,G
76254293,530,D
63702632,496,G
107047998,523,E
104112313,526,D
97357345,545,B
65876035,507,F
71885981,555,A
81553126,512,F
39699518,536,C
38437200,524,D
72672301,518,E
73511300,558,A
119374634,531,D
48454355,514,F
122699946,524,D
131528614,554,B
54363680,494,G
93297339,549,B
57674552,550,B
39690820,518,E
112219385,516,E
57894108,510,F
43195743,495,G
66170239,519,E
55048524,535,C
113790136,518,E
55320175,542,C
70621450,490,G
56017649,533,D
75547590,547,B
56652223,538,C
138770774,527,D
67849699,543,B
63869656,529,D
40503961,505,F
73489015,490,G
137583916,592,A
44683851,518,E
75528084,512,F
85711812,553,B
60970673,522,E
57802793,532,D
85261252,489,G
63988862,511,F
112436373,500,G
51957874,496,G
65098520,515,E
73845977,508,F
46610129,539,C
75710557,524,D
73067291,533,D
110362503,525,D
98775866,550,B
74665962,525,D
72762193,517,E
125938293,540,C
118035883,525,D
57834192,498,G
55967573,537,C
40920144,522,E
97410158,545,B
98838268,539,C
100407479,528,D
68576901,533,D
137656579,531,D
114136720,547,B
107490253,503,G
106948620,547,B
95374337,518,E
91100289,536,C
54908999,552,B
63458837,546,B
47737206,543,B
46085210,523,E
128895362,517,E
49524014,542,C
38732433,530,D
43105308,491,G
87274264,545,B
110050809,541,C
36250476,505,F
60884039,500,G
48664502,521,E
44142976,529,D
50064425,520,E
74597236,520,E
51978742,537,C
70391713,524,D
110085478,553,B
106508756,511,F
66610941,522,E
65596015,520,E
75708587,512,F
90736041,537,C
38435992,514,F
102642989,542,C
95158847,494,G
76915616,513,F
69474839,522,E
39887293,509,F
60346484,548,B
38638117,522,E
74984958,540,C
86552634,535,C
120024734,565,A
85186982,530,D
43549669,549,B
48745394,499,G
103477165,539,C
52037414,527,D
84546526,535,C
72652863,521,E
56129082,567,A
81544467,497,G
70935736,529,D
49943605,521,E
93287619,554,B
38467923,522,E
75848383,505,F
43306755,497,G
67479096,540,C
78279631,526,D
90073718,519,E
104551152,515,E
55091420,490,G
71765291,513,F
69990333,518,E
126607695,551,B
77292141,518,E
56082020,518,E
87094354,535,C
91497653,540,C
104090385,541,C
57324619,505,F
123894759,523,E
105782621,514,F
103771670,505,F
90986498,503,G
65008230,529,D
60597622,557,A
83622221,553,B
72664101,549,B
118644764,537,C
41052330,523,E
120083179,525,D
73408968,506,F
76033871,518,E
127781804,543,B
113541543,498,G
69593153,522,E
73745977,560,A
65782974,530,D
93177400,521,E
38549270,524,D
60236070,552,B
48684959,546,B
113346088,524,D
79692562,515,E
42464873,555,A
94470401,515,E
68584193,519,E
75254982,523,E
84910317,564,A
41121189,502,G
98856867,572,A
60276191,535,C
85670876,541,C
130558123,538,C
67278106,521,E
40921324,480,G
66085111,539,C
57035155,543,B
75333963,525,D
43739835,539,C
71975139,524,D
85717412,493,G
55159352,539,C
59241948,511,F
51446472,495,G
103801487,509,F
58440757,518,E
66546355,519,E
38281730,518,E
66004277,530,D
74663498,565,A
91443703,518,E
104461528,557,A
113750689,504,G
44045611,529,D
75334723,576,A
110631764,529,D
134675644,507,F
38608357,495,G
123034218,534,C
78249417,522,E
73704552,533,D
98441299,513,F
53171244,519,E
41781387,537,C
91614790,538,C
127272697,500,G
95157895,497,G
121771086,529,D
124972321,546,B
48654820,518,E
110649687,504,G
55169351,526,D
70211142,537,C
55253701,487,G
96760834,517,E
83273639,530,D
96714422,538,C
79005313,507,F
124857901,517,E
83192638,516,E
51436864,538,C
86296406,522,E
83941774,510,F
77420863,534,C
129364530,549,B
112733845,532,D
111598784,512,F
138386833,524,D
71736602,523,E
47927277,486,G
96213272,538,C
73863759,535,C
68594045,509,F
118266540,530,D
93910971,511,F
43570076,538,C
55908469,537,C
131544631,528,D
60316537,515,E
102637833,530,D
71623073,524,D
691756,554,B
78972466,518,E
84495475,546,B
59261476,537,C
46476298,513,F
43440830,535,C
44515501,532,D
74545123,531,D
55152006,547,B
84643521,533,D
75321101,512,F
53262969,497,G
111077436,516,E
70973142,565,A
40583233,530,D
68583505,524,D
56017347,541,C
77420664,523,E
65772648,521,E
109091972,552,B
135205150,520,E
57134135,541,C
74461321,527,D
130044671,552,B
61388752,539,C
112595817,518,E
39339773,522,E
119274091,523,E
93990679,533,D
79621158,512,F
66634207,516,E
67715240,555,A
88362473,509,F
96757740,532,D
92219705,512,F
75093267,539,C
61380306,517,E
46794713,509,F
62854637,543,B
125106535,514,F
85529906,540,C
75300099,524,D
43379875,523,E
74531776,574,A
55119979,520,E
50506438,530,D
75332412,541,C
85613612,519,E
107166924,540,C
46822832,508,F
43986704,519,E
85007111,542,C
65776692,516,E
54414417,523,E
110346709,525,D
43956738,500,G
125387592,537,C
71512988,524,D
38560180,513,F
69832127,516,E
130326102,545,B
128011176,522,E
75051309,512,F
86562300,503,G
74716588,523,E
114203056,566,A
143646834,502,G
71023064,513,F
69624952,517,E
107469707,521,E
125495904,527,D
61411046,520,E
119235649,528,D
85721758,524,D
42365347,510,F
96735230,512,F
61370675,509,F
51817600,516,E
84193565,526,D
63285929,546,B
134727043,554,B
39720926,535,C
97477714,493,G
55747400,501,G
109749533,524,D
83264108,536,C
95359578,546,B
65674783,495,G
67447083,524,D
112486259,535,C
66570912,527,D
38439443,509,F
130832321,546,B
51847626,508,F
61501178,540,C
70740328,544,B
107155241,514,F
109994358,527,D
110083419,537,C
65353733,514,F
113551352,535,C
92213502,505,F
90755972,534,C
70213165,531,D
48806336,552,B
100467166,512,F
65038844,499,G
40400354,511,F
102603453,513,F
109879641,533,D
72696124,538,C
54157769,512,F
74693981,521,E
60175866,509,F
78459487,507,F
70181958,536,C
65825061,551,B
69146803,536,C
65946497,512,F
119995789,504,G
106786973,527,D
77141711,513,F
46436122,525,D
44035951,526,D
38635401,499,G
57276630,532,D
55098904,537,C
132261664,532,D
119390925,535,C
62083478,512,F
49925847,512,F
119365176,490,G
123596102,551,B
112829758,563,A
48485037,550,B
111862644,565,A
51186548,523,E
132255271,527,D
51537182,509,F
72742334,551,B
71118147,518,E
104921726,524,D
63354862,546,B
94466583,516,E
83705460,507,F
92981855,581,A
58543575,519,E
38008406,503,G
55259700,530,D
100473156,540,C
61539638,554,B
79083206,521,E
56473019,552,B
111510694,549,B
60567462,528,D
63339127,560,A
56048223,512,F
70965051,566,A
85595939,507,F
94742967,522,E
67645630,557,A
98948080,524,D
124912478,532,D
68574915,540,C
59149645,539,C
72652803,489,G
118329345,502,G
68052948,508,F
43226178,504,G
111631568,553,B
94421063,494,G
60870897,564,A
66270544,521,E
69584637,521,E
78500034,510,F
93197599,514,F
65118427,506,F
57014127,473,G
50565750,558,A
102670194,553,B
75222895,510,F
97273332,552,B
96909034,511,F
67256456,543,B
118408183,533,D
69544540,551,B
110359106,513,F
39601296,507,F
103287747,530,D
56623043,533,D
78308201,517,E
73885228,505,F
45764602,553,B
104511754,518,E
69782962,510,F
48856498,539,C
76383708,545,B
66340123,526,D
56029855,517,E
805475,528,D
93411998,508,F
77479919,549,B
113679239,521,E
136195721,569,A
73824667,515,E
110010789,510,F
60881382,530,D
117288644,511,F
67215252,508,F
41490496,512,F
39269545,539,C
38470334,556,A
100397314,561,A
58210115,548,B
105517290,518,E
39582387,520,E
59129271,525,D
53874378,498,G
52596126,512,F
59271494,510,F
62964197,539,C
43529453,514,F
63345456,524,D
63898038,562,A
97629648,549,B
42181950,539,C
96449208,539,C
68379127,580,A
79340322,543,B
768229,532,D
138844374,549,B
61843334,523,E
130753407,558,A
97345731,514,F
58270491,538,C
121823478,544,B
105253232,556,A
58734145,552,B
69326389,534,C
96204510,543,B
81377600,539,C
63179461,541,C
63435428,526,D
51045298,547,B
55110076,551,B
97387219,538,C
50518471,530,D
46115347,521,E
73648262,511,F
89817577,533,D
125285849,531,D
120921907,524,D
98187321,566,A
78849842,528,D
65915640,515,E
67565514,493,G
73981828,562,A
103318251,548,B
135087008,534,C
70272300,515,E
49583277,527,D
66270928,551,B
62346023,526,D
74865206,530,D
55717414,485,G
104071718,512,F
111774764,525,D
71652425,523,E
88292131,555,A
68389378,534,C
93872159,501,G
124906683,570,A
71867158,525,D
74635709,501,G
114784931,524,D
129347854,523,E
60205816,539,C
66600608,526,D
50024514,510,F
129367917,551,B
65392926,518,E
69196177,525,D
85667665,546,B
50616071,501,G
75184757,520,E
72867246,516,E
129199465,549,B
55261146,534,C
68882997,505,F
84603682,558,A
104202565,514,F
120070656,541,C
63908567,558,A
61852642,537,C
39410457,517,E
112033428,530,D
59091188,529,D
132080712,525,D
65108150,525,D
109994583,490,G
71847210,565,A
66521486,508,F
113862454,510,F
69483511,553,B
50465793,526,D
132144028,550,B
60626790,515,E
121227680,551,B
84537042,511,F
120617886,524,D
61452685,524,D
98043967,543,B
69604454,518,E
133226677,534,C
48906492,522,E
81545082,540,C
109251699,529,D
75828299,523,E
37068028,498,G
127639282,530,D
60961531,499,G
46754602,525,D
70161276,511,F
84031243,537,C
48444637,546,B
75249709,515,E
85616912,546,B
74661357,519,E
61323482,545,B
54258595,511,F
62277750,540,C
65722603,512,F
97605170,534,C
61402472,502,G
96896340,524,D
96504433,533,D
93843149,518,E
85759654,521,E
65314130,489,G
71737491,554,B
96615174,529,D
75477836,520,E
112810923,524,D
39651330,527,D
46723783,546,B
94060924,554,B
42463338,508,F
58430503,525,D
113063023,545,B
85523424,526,D
41050799,509,F
135045032,542,C
108520400,529,D
94424670,524,D
43580196,516,E
70603251,513,F
57802670,545,B
96422939,554,B
59341278,519,E
96319288,517,E
42493970,508,F
37721707,516,E
41031513,521,E
48051870,532,D
70946274,515,E
72685022,543,B
65271431,520,E
59070954,535,C
77390225,535,C
71011412,547,B
71834142,511,F
107067752,510,F
52808626,519,E
59789400,530,D
43840912,534,C
67466198,539,C
134333438,536,C
85753139,539,C
115260227,539,C
39369350,528,D
46526919,530,D
92379180,521,E
75660285,537,C
79672929,553,B
40856545,530,D
93772977,531,D
77360116,511,F
121426504,573,A
88174493,526,D
71013494,519,E
86472166,520,E
135015826,547,B
68550944,522,E
79370817,550,B
74766224,518,E
73121831,541,C
88241136,539,C
41002628,528,D
51906807,538,C
54543300,512,F
68764106,502,G
73355704,558,A
69085718,522,E
72204443,519,E
69680705,513,F
40952099,548,B
46706235,499,G
57325973,528,D
47008476,516,E
56051460,516,E
140620501,554,B
48334427,524,D
100452048,561,A
123976472,509,F
65190470,560,A
93061354,514,F
43379320,553,B
75299947,508,F
88563602,565,A
68598586,573,A
95070782,547,B
70933195,518,E
61138178,523,E
120263059,512,F
39693126,514,F
85553508,530,D
75252880,575,A
67828657,537,C
107559458,548,B
98074424,546,B
64832144,523,E
38700156,504,G
72752524,529,D
69126240,518,E
143627659,527,D
133224178,518,E
72703713,499,G
91853723,571,A
58492331,530,D
91178536,497,G
65825696,516,E
74001987,525,D
